GivenName,EmailAddress,NameSet,Surname
Rosa,RosaTThygesen@fleckens.hu,Danish,Thygesen
Joachim,JoachimNJohansen@rhyta.com,Danish,Johansen
Clara,ClaraJKristensen@einrot.com,Danish,Kristensen
Adam,AdamMKlausen@armyspy.com,Danish,Klausen
Ditte,DitteDLauridsen@jourrapide.com,Danish,Lauridsen
Victoria,VictoriaMNilsson@armyspy.com,Danish,Nilsson
Liv,LivALarsen@einrot.com,Danish,Larsen
Mathias,MathiasTKrogh@gustr.com,Danish,Krogh
Michael,MichaelAJessen@cuvox.de,Danish,Jessen
Tobias,TobiasCMikkelsen@gustr.com,Danish,Mikkelsen
Aase,AaseJBang@dayrep.com,Danish,Bang
Adam,AdamJSchultz@jourrapide.com,Danish,Schultz
Tosh,ToshABrandt@armyspy.com,Danish,Brandt
Josefine,JosefineESorensen@teleworm.us,Danish,Sørensen
Laurits,LauritsSLarsen@einrot.com,Danish,Larsen
Marius,MariusNMortensen@teleworm.us,Danish,Mortensen
Hannah,HannahJJessen@cuvox.de,Danish,Jessen
Frida,FridaSMadsen@cuvox.de,Danish,Madsen
Dennis,DennisNHolst@teleworm.us,Danish,Holst
Nansen,NansenHBerg@dayrep.com,Danish,Berg
Emma,EmmaPLind@cuvox.de,Danish,Lind
Tosh,ToshPMogensen@einrot.com,Danish,Mogensen
Dennis,DennisIKjeldsen@gustr.com,Danish,Kjeldsen
Emma,EmmaJLorenzen@dayrep.com,Danish,Lorenzen
Nicklas,NicklasTChristiansen@fleckens.hu,Danish,Christiansen
Aksel,AkselAEriksen@fleckens.hu,Danish,Eriksen
Jakob,JakobNSkov@einrot.com,Danish,Skov
Jonas,JonasESimonsen@cuvox.de,Danish,Simonsen
Marcus,MarcusSClausen@cuvox.de,Danish,Clausen
Emil,EmilSOvergaard@gustr.com,Danish,Overgaard
Asta,AstaRPoulsen@gustr.com,Danish,Poulsen
Silas,SilasTWinther@fleckens.hu,Danish,Winther
Pernille,PernilleTKoch@jourrapide.com,Danish,Koch
Aase,AaseMIversen@cuvox.de,Danish,Iversen
Signe,SigneMKoch@armyspy.com,Danish,Koch
Tilde,TildeTKjeldsen@jourrapide.com,Danish,Kjeldsen
Esther,EstherSMortensen@dayrep.com,Danish,Mortensen
Malthe,MaltheFSvendsen@superrito.com,Danish,Svendsen
Sofia,SofiaVMikkelsen@teleworm.us,Danish,Mikkelsen
Frederikke,FrederikkePChristensen@armyspy.com,Danish,Christensen
Celina,CelinaMJensen@teleworm.us,Danish,Jensen
Frederik,FrederikASchou@cuvox.de,Danish,Schou
Rikke,RikkeOAndresen@dayrep.com,Danish,Andresen
Isabella,IsabellaABak@rhyta.com,Danish,Bak
Philip,PhilipAHedegaard@superrito.com,Danish,Hedegaard
Sofia,SofiaMSorensen@armyspy.com,Danish,Sørensen
Johanne,JohanneMHedegaard@teleworm.us,Danish,Hedegaard
Nicklas,NicklasKJepsen@superrito.com,Danish,Jepsen
Oscar,OscarKThorsen@cuvox.de,Danish,Thorsen
Michael,MichaelMNielsen@armyspy.com,Danish,Nielsen
Albert,AlbertOEriksen@gustr.com,Danish,Eriksen
Marius,MariusRGregersen@jourrapide.com,Danish,Gregersen
Tilde,TildeVJespersen@einrot.com,Danish,Jespersen
Isabella,IsabellaJDam@rhyta.com,Danish,Dam
Frederik,FrederikSDanielsen@fleckens.hu,Danish,Danielsen
Mads,MadsMCarlsen@armyspy.com,Danish,Carlsen
Rasmus,RasmusNSchultz@teleworm.us,Danish,Schultz
Laerke,LaerkePMortensen@teleworm.us,Danish,Mortensen
Simon,SimonKMadsen@jourrapide.com,Danish,Madsen
Silje,SiljeJSchou@teleworm.us,Danish,Schou
Malthe,MaltheOKrogh@dayrep.com,Danish,Krogh
David,DavidHMogensen@dayrep.com,Danish,Mogensen
Johanne,JohanneMBrandt@jourrapide.com,Danish,Brandt
Mike,MikeAToft@einrot.com,Danish,Toft
Filippa,FilippaDSteffensen@teleworm.us,Danish,Steffensen
Valdemar,ValdemarSMogensen@armyspy.com,Danish,Mogensen
Sarah,SarahKKristiansen@teleworm.us,Danish,Kristiansen
Helena,HelenaMOstergaard@jourrapide.com,Danish,Østergaard
Lea,LeaDPetersen@teleworm.us,Danish,Petersen
Sandra,SandraJAndreasen@einrot.com,Danish,Andreasen
Kasper,KasperFKristensen@teleworm.us,Danish,Kristensen
Ella,EllaSKnudsen@jourrapide.com,Danish,Knudsen
Sarah,SarahLOlsen@armyspy.com,Danish,Olsen
Andrea,AndreaMMortensen@dayrep.com,Danish,Mortensen
Frederik,FrederikNKnudsen@jourrapide.com,Danish,Knudsen
Mimir,MimirLSondergaard@einrot.com,Danish,Søndergaard
Ida,IdaABertelsen@superrito.com,Danish,Bertelsen
Asta,AstaNVestergaard@superrito.com,Danish,Vestergaard
Amalie,AmalieMIversen@armyspy.com,Danish,Iversen
August,AugustAAndresen@rhyta.com,Danish,Andresen
Selma,SelmaVLund@gustr.com,Danish,Lund
Selam,SelamMOlsen@armyspy.com,Danish,Olsen
Christina,ChristinaBHenriksen@cuvox.de,Danish,Henriksen
Jesper,JesperNKarlsen@cuvox.de,Danish,Karlsen
